id_hive,n_vd_sug,n_vd_alc,n_am,notes,id_op_alc
70,5,0,308,,gg
67,4,0,291,,gg
26,85,1,423,api nane,gg
12,27,0,260,,gg
7,30,1,252,,gg
26,24,3,342,,gg
28,0,0,326,,gg
9,12,0,293,,gg
25,10,2,280,,gg
11,13,0,271,,gg
10,9,1,252,,gg
27,16,1,316,,gg
8,5,1,,,gg
15,8,0,,,gg
69,6,0,,,gg
6,4,0,,,gg
58,5,1,,,gg
63,3,0,,,gg
13,2,0,,,gg
14,1,0,,,gg
29,1,0,,,gg
71,2,0,224,,ds
32,6,1,365,,ds
18,1,0,329,,ds
33,3,0,330,,ds
31,0,0,354,,ds
16,7,0,351,,ds
22,2,0,328,,ds
17,7,0,228,,ds
30,2,0,359,,ds
49,2,0,284,,ds
21,3,0,,,ds
64,26,2,,,ds
20,12,0,,,ds
24,1,0,,,ds
19,20,1,,,ds
54,7,0,317,,uv
55,5,0,327,,uv
50,9,0,311,,uv
48,15,6,350,,uv
43,16,3,,,uv
61,23,6,287,,uv
35,7,2,309,,uv
47,23,4,343,,uv
46,30,3,312,,uv
57,10,0,339,,uv
56,17,0,359,,uv
36,22,1,,,uv
42,8,0,,,uv
41,13,2,,,uv
34,4,0,,,uv
44,14,2,,,uv
51,3,0,,,uv
65,25,0,,,uv
40,8,1,,,uv
59,0,0,,,uv
38,5,0,,,uv
39,6,2,,,uv
45,3,0,,,uv
